class_id,class_name,reference_support,prediction_count,true_positives,false_positives,false_negatives,precision,precision_ci_lower,precision_ci_upper,recall,recall_ci_lower,recall_ci_upper,f1,f1_ci_lower,f1_ci_upper
0,Missing,411,294,167,127,244,0.568027,0.506798,0.627693,0.406326,0.353531,0.457996,0.473759,0.418096,0.526897
1,Dental Crown,282,274,243,31,39,0.886861,0.814285,0.939491,0.861702,0.809521,0.908400,0.874101,0.823966,0.914286
2,Root Canal,305,300,225,75,80,0.750000,0.680272,0.817394,0.737705,0.671530,0.800614,0.743802,0.679315,0.802745
3,Caries,225,139,107,32,118,0.769784,0.697183,0.838932,0.475556,0.399002,0.556486,0.587912,0.516484,0.655740
4,Broken Down,130,152,94,58,36,0.618421,0.519220,0.709226,0.723077,0.625930,0.807339,0.666667,0.583731,0.735910
5,Wisdom Teeth,132,152,112,40,20,0.736842,0.637572,0.830068,0.848485,0.782600,0.908398,0.788732,0.719659,0.853938
6,Healthy,34,65,28,37,6,0.430769,0.312480,0.552263,0.823529,0.666667,0.964286,0.565657,0.441558,0.677973
